,paperID,authorName
863,252,"Kraft, Frank Michael"
864,252,"Schieferdecker, Ina"
865,253,"Li, Li"
866,253,"Kenny, Joseph P"
867,253," Wu, Meng Shio"
868,253,"Huck, Kevin"
869,253,"Gaenko, Alexander"
870,253,"Gordon, Mark S"
871,253," Janssen, Curtis L"
872,253," Curfman McInnes, Lois"
873,253,"Mori, Hirotoshi"
874,253,"Netzloff, Heather M"
875,253," Norris, Boyana"
876,253,"Windus, Theresa L"
877,254,"Banis, Mohammad Norouzi"
878,254,"Sun, Shuhui"
879,254,"Meng, Xiangbo"
880,254,"Zhang, Yong"
881,254,"Wang, Zhiqiang"
882,254,"Li, Ruying"
883,254,"Cai, Mei"
884,254,"Sham, Tsun Kong"
885,254,"Sun, Xueliang"
886,255,Hou Minghui
